account_rewards,date
316800.0,2020-04-10
-1066900.0,2020-04-13
1190700.0,2020-04-14
4800.0,2020-04-15
126300.0,2020-04-16
-517600.0,2020-04-17
-3510500.0,2020-04-20
2181700.0,2020-04-21
-56500.0,2020-04-22
-323900.0,2020-04-23
-1379300.0,2020-04-24
92000.0,2020-04-27
596500.0,2020-04-28
-331500.0,2020-04-29
23300.0,2020-05-04
957900.0,2020-05-05
2190800.0,2020-05-06
729500.0,2020-05-07
680500.0,2020-05-08
92300.0,2020-05-11
1462300.0,2020-05-12
91600.0,2020-05-13
-1600700.0,2020-05-14
391200.0,2020-05-15
299400.0,2020-05-18
-4600.0,2020-05-19
855900.0,2020-05-20
-601700.0,2020-05-21
545800.0,2020-05-22
3333500.0,2020-05-25
-3192400.0,2020-05-26
1229000.0,2020-05-27
-1001800.0,2020-05-28
2034100.0,2020-05-29
-1184800.0,2020-06-01
698500.0,2020-06-02
1285900.0,2020-06-03
367400.0,2020-06-04
2774000.0,2020-06-05
-1003800.0,2020-06-08
178000.0,2020-06-09
-4323800.0,2020-06-10
2845500.0,2020-06-11
-3820200.0,2020-06-12
1205000.0,2020-06-15
-496600.0,2020-06-16
256800.0,2020-06-17
1415600.0,2020-06-18
-320600.0,2020-06-19
-890700.0,2020-06-22
-512100.0,2020-06-23
-470500.0,2020-06-24
-166300.0,2020-06-25
-1999900.0,2020-06-26
-906500.0,2020-06-29
1884800.0,2020-06-30
-264800.0,2020-07-01
129300.0,2020-07-02
1483000.0,2020-07-03
743500.0,2020-07-06
-75000.0,2020-07-07
1544900.0,2020-07-08
