date,BID,BVH,CTG,FPT,GAS,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,REE,SBT,SSI,STB,TCB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
2019-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,-200,0,0,0,0,0,0,0,0,0,0,0,-3000
2019-10-09,400,0,0,0,0,100,0,0,0,0,0,0,0,-300,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2019-10-10,2000,0,0,0,0,-100,0,0,0,0,0,0,0,-1500,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-14,-2400,0,100,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-15,2300,0,0,0,0,0,0,0,0,0,0,0,0,-1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-16,-2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800
2019-10-17,0,0,4200,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2800
2019-10-18,0,0,-4300,0,0,0,0,0,0,0,0,0,0,0,0,7100,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0,0,0,200
2019-10-22,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3300,0,0,0,-100,0,0,0,0,0,0,0,-200
2019-10-23,-1300,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,100,0,0,0,0,0,0,0
2019-10-24,1200,0,0,0,0,0,0,0,0,0,0,0,0,-900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-25,-1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0
2019-10-28,0,700,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,0,0,0,0
2019-10-29,0,-700,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31,0,0,0,0,500,0,0,0,0,0,0,0,0,-900,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3300,0,0,0,100,0,0,0,0,0,0,0,1200
2019-11-04,0,0,0,0,-500,0,0,0,0,600,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-05,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
2019-11-06,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,100,0,0,0,0,0,0,-1200
2019-11-07,-1000,0,0,0,0,0,0,0,0,-600,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,2500
2019-11-08,0,0,100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2019-11-11,0,0,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2500
2019-11-12,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2019-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-14,0,1200,0,0,0,0,0,0,-5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-15,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0
2019-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-21,0,-1200,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2400
2019-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-25,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-2400
2019-11-26,100,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,-200,0,0,0,0,0,0,0,0
2019-11-27,-100,0,0,0,0,0,0,0,0,0,0,-1900,0,0,0,6400,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0
2019-11-29,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,-6400,0,0,0,0,0,0,0,0,0,800,0,0
2019-12-02,2000,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,-800,0,0
