,date,account_value
0,2019-01-02,100000000.0
1,2019-01-03,100000000.0
2,2019-01-04,100000000.0
3,2019-01-07,100000000.0
4,2019-01-08,100000000.0
5,2019-01-09,100000000.0
6,2019-01-10,99878348.19999999
7,2019-01-11,99817988.19999999
8,2019-01-14,99817988.19999999
9,2019-01-15,99817988.19999999
10,2019-01-16,99817988.19999999
11,2019-01-17,99054598.69999999
12,2019-01-18,100428598.69999999
13,2019-01-21,100276598.69999999
14,2019-01-22,100428598.69999999
15,2019-01-23,100275064.69999999
16,2019-01-24,100275064.69999999
17,2019-01-25,100275064.69999999
18,2019-01-28,100275064.69999999
19,2019-01-29,100118665.69999999
20,2019-01-30,99355665.69999999
21,2019-01-31,98972665.69999999
22,2019-02-01,98972665.69999999
23,2019-02-11,98817985.69999999
24,2019-02-12,98817985.69999999
25,2019-02-13,98817985.69999999
26,2019-02-14,99431370.34999998
27,2019-02-15,99981270.34999998
28,2019-02-18,99836696.14999999
29,2019-02-19,99836696.14999999
30,2019-02-20,99836696.14999999
31,2019-02-21,99836696.14999999
32,2019-02-22,99836696.14999999
33,2019-02-25,99836696.14999999
34,2019-02-26,99836696.14999999
35,2019-02-27,99836696.14999999
36,2019-02-28,95147487.79999998
37,2019-03-01,95353587.79999998
38,2019-03-04,96385887.79999998
39,2019-03-05,95766687.79999998
40,2019-03-06,95078187.79999998
41,2019-03-07,94184487.79999998
42,2019-03-08,92328687.79999998
43,2019-03-11,92739987.79999998
44,2019-03-12,93703887.79999998
45,2019-03-13,93222387.79999998
46,2019-03-14,93079772.44999999
47,2019-03-15,93079772.44999999
48,2019-03-18,93079772.44999999
49,2019-03-19,93079772.44999999
50,2019-03-20,93079772.44999999
51,2019-03-21,93079772.44999999
52,2019-03-22,93283329.04999998
53,2019-03-25,93283329.04999998
54,2019-03-26,93283329.04999998
55,2019-03-27,93283329.04999998
56,2019-03-28,92389629.04999998
57,2019-03-29,92114229.04999998
58,2019-04-01,94726929.04999998
59,2019-04-02,95002329.04999998
60,2019-04-03,94658529.04999998
61,2019-04-04,94314729.04999998
62,2019-04-05,94172422.85
63,2019-04-08,94651070.29999998
64,2019-04-09,94509588.94999999
65,2019-04-10,94509588.94999999
66,2019-04-11,94576166.44999999
67,2019-04-12,94436334.8
68,2019-04-16,94436334.8
69,2019-04-17,94436334.8
70,2019-04-18,94436334.8
