,date,account_value
0,2019-01-02,100000000.0
1,2019-01-03,98918615.3
2,2019-01-04,100684115.3
3,2019-01-07,105726515.3
4,2019-01-08,104885015.3
5,2019-01-09,106482215.3
6,2019-01-10,106313915.3
7,2019-01-11,108245515.3
8,2019-01-14,109085915.3
9,2019-01-15,109003415.3
10,2019-01-16,107406215.3
11,2019-01-17,106734115.3
12,2019-01-18,108245515.3
13,2019-01-21,108078315.3
14,2019-01-22,108245515.3
15,2019-01-23,108667915.3
16,2019-01-24,109507215.3
17,2019-01-25,109842715.3
18,2019-01-28,110346515.3
19,2019-01-29,110346515.3
20,2019-01-30,109507215.3
21,2019-01-31,109085915.3
22,2019-02-01,109085915.3
23,2019-02-11,110766715.3
24,2019-02-12,111607115.3
25,2019-02-13,111859015.3
26,2019-02-14,112783015.3
27,2019-02-15,113455115.3
28,2019-02-18,114968715.3
29,2019-02-19,115472515.3
30,2019-02-20,115809115.3
31,2019-02-21,120430215.3
32,2019-02-22,120765715.3
33,2019-02-25,123035015.3
34,2019-02-26,118412815.3
35,2019-02-27,119757015.3
36,2019-02-28,114211915.3
37,2019-03-01,114463815.3
38,2019-03-04,115725515.3
39,2019-03-05,114968715.3
40,2019-03-06,114127215.3
41,2019-03-07,113034915.3
42,2019-03-08,110766715.3
43,2019-03-11,111269415.3
44,2019-03-12,112447515.3
45,2019-03-13,111859015.3
46,2019-03-14,110935015.3
47,2019-03-15,110766715.3
48,2019-03-18,111607115.3
49,2019-03-19,110682015.3
50,2019-03-20,112027315.3
51,2019-03-21,109926315.3
52,2019-03-22,110346515.3
53,2019-03-25,110346515.3
54,2019-03-26,110346515.3
55,2019-03-27,110346515.3
56,2019-03-28,109254215.3
57,2019-03-29,108917615.3
58,2019-04-01,112110915.3
59,2019-04-02,112447515.3
60,2019-04-03,112027315.3
61,2019-04-04,111607115.3
62,2019-04-05,110178215.3
63,2019-04-08,110935015.3
64,2019-04-09,109422515.3
65,2019-04-10,109338915.3
66,2019-04-11,109590815.3
67,2019-04-12,109674415.3
68,2019-04-16,109926315.3
69,2019-04-17,109085915.3
70,2019-04-18,109254215.3
71,2019-04-19,107406215.3
72,2019-04-22,104548415.3
73,2019-04-23,102366015.3
74,2019-04-24,104464815.3
75,2019-04-25,104464815.3
76,2019-04-26,104717815.3
77,2019-05-02,104885015.3
78,2019-05-03,105726515.3
79,2019-05-06,104128215.3
80,2019-05-07,104464815.3
81,2019-05-08,103204215.3
82,2019-05-09,103373615.3
83,2019-05-10,104969715.3
84,2019-05-13,108161915.3
85,2019-05-14,109507215.3
86,2019-05-15,109590815.3
87,2019-05-16,110261815.3
88,2019-05-17,109590815.3
89,2019-05-20,111186915.3
90,2019-05-21,107827515.3
91,2019-05-22,106649415.3
92,2019-05-23,106649415.3
93,2019-05-24,105305215.3
94,2019-05-27,108245515.3
95,2019-05-28,106563615.3
96,2019-05-29,107321515.3
97,2019-05-30,106145615.3
98,2019-05-31,104464815.3
99,2019-06-03,103204215.3
100,2019-06-04,103709115.3
101,2019-06-05,104050115.3
102,2019-06-06,103197615.3
103,2019-06-07,103283415.3
104,2019-06-10,103538615.3
105,2019-06-11,102348415.3
106,2019-06-12,102093215.3
107,2019-06-13,100393715.3
108,2019-06-14,100818315.3
109,2019-06-17,100818315.3
110,2019-06-18,100222115.3
111,2019-06-19,100562015.3
112,2019-06-20,100477315.3
113,2019-06-21,102348415.3
114,2019-06-24,100309015.3
115,2019-06-25,100562015.3
116,2019-06-26,100647815.3
117,2019-06-27,100309015.3
118,2019-06-28,100222115.3
119,2019-07-01,101923815.3
120,2019-07-02,102008515.3
121,2019-07-03,102774115.3
122,2019-07-04,102943515.3
123,2019-07-05,102943515.3
124,2019-07-08,101244015.3
125,2019-07-09,101923815.3
126,2019-07-10,101923815.3
127,2019-07-11,102093215.3
128,2019-07-12,101072415.3
129,2019-07-15,100393715.3
130,2019-07-16,101072415.3
131,2019-07-17,102263715.3
132,2019-07-18,101583915.3
133,2019-07-19,103538615.3
134,2019-07-22,102348415.3
135,2019-07-23,102263715.3
136,2019-07-24,102434215.3
137,2019-07-25,102008515.3
138,2019-07-26,101499215.3
139,2019-07-29,100647815.3
140,2019-07-30,100647815.3
141,2019-07-31,100393715.3
142,2019-08-01,101244015.3
143,2019-08-02,101072415.3
144,2019-08-05,99374015.3
145,2019-08-06,97843915.3
146,2019-08-07,98522615.3
147,2019-08-08,98436815.3
148,2019-08-09,98522615.3
149,2019-08-12,98183815.3
150,2019-08-13,95971715.3
151,2019-08-14,96566815.3
152,2019-08-15,99374015.3
153,2019-08-16,101157115.3
154,2019-08-19,101839115.3
155,2019-08-20,101413415.3
156,2019-08-21,100988815.3
157,2019-08-22,101072415.3
158,2019-08-23,100222115.3
159,2019-08-26,98096915.3
160,2019-08-27,96823115.3
161,2019-08-28,97163015.3
162,2019-08-29,100222115.3
163,2019-08-30,100222115.3
164,2019-09-03,101072415.3
165,2019-09-04,100903015.3
166,2019-09-05,99374015.3
167,2019-09-06,100053815.3
168,2019-09-09,101499215.3
169,2019-09-10,100818315.3
170,2019-09-11,99458715.3
171,2019-09-12,99374015.3
172,2019-09-13,99458715.3
173,2019-09-16,100668715.3
174,2019-09-17,101532215.3
175,2019-09-18,102569515.3
176,2019-09-19,102482615.3
177,2019-09-20,101185715.3
178,2019-09-23,103261415.3
179,2019-09-24,105336015.3
180,2019-09-25,104903715.3
181,2019-09-26,108014515.3
182,2019-09-27,108101415.3
183,2019-09-30,107756015.3
184,2019-10-01,106285315.3
185,2019-10-02,105421815.3
186,2019-10-03,107151015.3
187,2019-10-04,106804515.3
188,2019-10-07,107237915.3
189,2019-10-08,107151015.3
190,2019-10-09,105421815.3
191,2019-10-10,105421815.3
192,2019-10-11,106285315.3
193,2019-10-14,106804515.3
194,2019-10-15,106547115.3
195,2019-10-16,108361015.3
196,2019-10-17,108879115.3
197,2019-10-18,110176015.3
198,2019-10-21,111127515.3
199,2019-10-22,110176015.3
200,2019-10-23,110002215.3
201,2019-10-24,110260715.3
202,2019-10-25,111904115.3
203,2019-10-28,111299115.3
204,2019-10-29,111558715.3
205,2019-10-30,109742615.3
206,2019-10-31,108014515.3
207,2019-11-01,110088015.3
208,2019-11-04,109138715.3
209,2019-11-05,107323715.3
210,2019-11-06,108101415.3
211,2019-11-07,107237915.3
212,2019-11-08,107323715.3
213,2019-11-11,107409515.3
214,2019-11-12,105853015.3
215,2019-11-13,104124915.3
216,2019-11-14,104470315.3
217,2019-11-15,101965615.3
218,2019-11-18,100063715.3
219,2019-11-19,103175615.3
220,2019-11-20,102829115.3
221,2019-11-21,101099915.3
222,2019-11-22,100668715.3
223,2019-11-25,101877615.3
224,2019-11-26,101965615.3
225,2019-11-27,101185715.3
226,2019-11-28,101185715.3
227,2019-11-29,100668715.3
228,2019-12-02,97901115.3
229,2019-12-03,96259915.3
230,2019-12-04,98333415.3
231,2019-12-05,97469915.3
232,2019-12-06,96174115.3
233,2019-12-09,97730615.3
234,2019-12-10,97815315.3
235,2019-12-11,98161815.3
236,2019-12-12,98679915.3
237,2019-12-13,97642615.3
238,2019-12-16,98247615.3
239,2019-12-17,96864915.3
240,2019-12-18,98161815.3
241,2019-12-19,99113315.3
242,2019-12-20,99372915.3
243,2019-12-23,97642615.3
244,2019-12-24,98161815.3
245,2019-12-25,97642615.3
246,2019-12-26,97642615.3
247,2019-12-27,98687615.3
248,2019-12-30,97207015.3
249,2019-12-31,97207015.3
250,2020-01-02,98428015.3
251,2020-01-03,98776715.3
252,2020-01-06,97991315.3
253,2020-01-07,98949415.3
254,2020-01-08,99211215.3
255,2020-01-09,99036315.3
256,2020-01-10,99299215.3
257,2020-01-13,97991315.3
258,2020-01-14,98338915.3
259,2020-01-15,98338915.3
260,2020-01-16,98687615.3
261,2020-01-17,99036315.3
262,2020-01-20,99386115.3
263,2020-01-21,101130715.3
264,2020-01-22,101391415.3
265,2020-01-30,97293915.3
266,2020-01-31,90233015.3
267,2020-02-03,90087912.45
268,2020-02-04,87472912.45
269,2020-02-05,88854131.25
270,2020-02-06,89640631.25
271,2020-02-07,91993531.25
272,2020-02-10,90947431.25
273,2020-02-11,89378831.25
274,2020-02-12,89378831.25
275,2020-02-13,89117031.25
276,2020-02-14,88854131.25
277,2020-02-17,89640631.25
278,2020-02-18,87896031.25
279,2020-02-19,88681431.25
280,2020-02-20,88681431.25
281,2020-02-21,90510731.25
282,2020-02-24,88681431.25
283,2020-02-25,90075131.25
284,2020-02-26,87460431.25
285,2020-02-27,89552631.25
286,2020-02-28,87024831.25
287,2020-03-02,87037253.05
288,2020-03-03,87722231.25
289,2020-03-04,87287731.25
290,2020-03-05,87024831.25
291,2020-03-06,86798253.05
292,2020-03-09,80510367.1
293,2020-03-10,84246897.3
294,2020-03-11,84166897.3
295,2020-03-12,83612897.3
296,2020-03-13,82185897.3
297,2020-03-16,80521897.3
298,2020-03-17,79729897.3
299,2020-03-18,78936897.3
300,2020-03-19,74181897.3
301,2020-03-20,75042518.1
302,2020-03-23,69552418.1
303,2020-03-24,71464367.45
304,2020-03-25,76139367.45
305,2020-03-26,77724367.45
306,2020-03-27,77803367.45
307,2020-03-30,75505367.45
308,2020-03-31,75347367.45
309,2020-04-01,77724367.45
310,2020-04-03,78516367.45
311,2020-04-06,79467367.45
312,2020-04-07,81290367.45
313,2020-04-08,81687367.45
314,2020-04-09,82558367.45
315,2020-04-10,82162367.45
316,2020-04-13,81765367.45
317,2020-04-14,81687367.45
318,2020-04-15,81845367.45
319,2020-04-16,81924367.45
320,2020-04-17,81924367.45
321,2020-04-20,82479367.45
322,2020-04-21,79942367.45
323,2020-04-22,80498367.45
324,2020-04-23,79387367.45
325,2020-04-24,84697367.45
326,2020-04-27,84697367.45
327,2020-04-28,82874367.45
328,2020-04-29,81687367.45
329,2020-05-04,80577367.45
330,2020-05-05,82874367.45
331,2020-05-06,83667367.45
332,2020-05-07,85173367.45
333,2020-05-08,86441367.45
334,2020-05-11,89214367.45
335,2020-05-12,93494367.45
336,2020-05-13,93335367.45
337,2020-05-14,92781367.45
338,2020-05-15,91037367.45
339,2020-05-18,91274367.45
340,2020-05-19,92464367.45
341,2020-05-20,93573367.45
342,2020-05-21,94366367.45
343,2020-05-22,93890367.45
344,2020-05-25,96426367.45
345,2020-05-26,96426367.45
346,2020-05-27,94366367.45
347,2020-05-28,94207367.45
348,2020-05-29,94366367.45
349,2020-06-01,95237367.45
350,2020-06-02,95158367.45
351,2020-06-03,95633367.45
352,2020-06-04,96583367.45
353,2020-06-05,97694367.45
354,2020-06-08,100547367.45
355,2020-06-09,102290367.45
356,2020-06-10,100705367.45
357,2020-06-11,100150367.45
358,2020-06-12,96743367.45
359,2020-06-15,91988367.45
360,2020-06-16,95950367.45
361,2020-06-17,94841367.45
362,2020-06-18,94524367.45
363,2020-06-19,94366367.45
364,2020-06-22,94682367.45
365,2020-06-23,95158367.45
366,2020-06-24,96030367.45
367,2020-06-25,95475367.45
368,2020-06-26,95078367.45
369,2020-06-29,93071367.45
370,2020-06-30,93714367.45
371,2020-07-01,95319367.45
372,2020-07-02,93955367.45
373,2020-07-03,94838367.45
374,2020-07-06,96765367.45
375,2020-07-07,96363367.45
376,2020-07-08,95962367.45
377,2020-07-09,96283367.45
378,2020-07-10,95802367.45
379,2020-07-13,95399367.45
380,2020-07-14,95721367.45
381,2020-07-15,96363367.45
382,2020-07-16,97567367.45
383,2020-07-17,97005367.45
384,2020-07-20,96123367.45
385,2020-07-21,96363367.45
386,2020-07-22,94838367.45
387,2020-07-23,94918367.45
388,2020-07-24,92429367.45
389,2020-07-27,86247367.45
390,2020-07-28,91466367.45
391,2020-07-29,88334367.45
392,2020-07-30,90743367.45
393,2020-07-31,89138367.45
394,2020-08-03,90903367.45
395,2020-08-04,92590367.45
396,2020-08-05,93232367.45
397,2020-08-06,95399367.45
398,2020-08-07,95962367.45
399,2020-08-10,95159367.45
400,2020-08-11,95159367.45
401,2020-08-12,96042367.45
402,2020-08-13,96684367.45
403,2020-08-14,96925367.45
404,2020-08-17,97166367.45
405,2020-08-18,96042367.45
406,2020-08-19,95802367.45
407,2020-08-20,95721367.45
408,2020-08-21,96042367.45
409,2020-08-24,96765367.45
410,2020-08-25,97407367.45
411,2020-08-26,97246367.45
412,2020-08-27,97326367.45
413,2020-08-28,99013367.45
414,2020-08-31,100378367.45
415,2020-09-01,102143367.45
416,2020-09-03,103348367.45
417,2020-09-04,103589367.45
418,2020-09-07,104391367.45
419,2020-09-08,102947367.45
420,2020-09-09,102625367.45
421,2020-09-10,103348367.45
422,2020-09-11,102625367.45
423,2020-09-14,102947367.45
424,2020-09-15,103428367.45
425,2020-09-16,102947367.45
426,2020-09-17,103188367.45
427,2020-09-18,104712367.45
428,2020-09-21,107684367.45
429,2020-09-22,107281367.45
430,2020-09-23,106960367.45
431,2020-09-24,105436367.45
432,2020-09-25,105757367.45
433,2020-09-28,106238367.45
434,2020-09-29,110104367.45
435,2020-09-30,109811367.45
