,date,account_value
0,2019-01-02,100000000.0
1,2019-01-03,98918615.3
2,2019-01-04,98763718.25
3,2019-01-07,103204495.25
4,2019-01-08,102439495.25
5,2019-01-09,103891495.25
6,2019-01-10,103738495.25
7,2019-01-11,105494495.25
8,2019-01-14,106258495.25
9,2019-01-15,106183495.25
10,2019-01-16,104731495.25
11,2019-01-17,104120495.25
12,2019-01-18,105494495.25
13,2019-01-21,105342495.25
14,2019-01-22,105494495.25
15,2019-01-23,105878495.25
16,2019-01-24,106641495.25
17,2019-01-25,106946495.25
18,2019-01-28,107404495.25
19,2019-01-29,107404495.25
20,2019-01-30,106641495.25
21,2019-01-31,106258495.25
22,2019-02-01,106258495.25
23,2019-02-11,107786495.25
24,2019-02-12,108550495.25
25,2019-02-13,108779495.25
26,2019-02-14,109619495.25
27,2019-02-15,110230495.25
28,2019-02-18,111606495.25
29,2019-02-19,112064495.25
30,2019-02-20,112370495.25
31,2019-02-21,116571495.25
32,2019-02-22,116876495.25
33,2019-02-25,118939495.25
34,2019-02-26,114737495.25
35,2019-02-27,115959495.25
36,2019-02-28,110918495.25
37,2019-03-01,111147495.25
38,2019-03-04,112294495.25
39,2019-03-05,111606495.25
40,2019-03-06,110841495.25
41,2019-03-07,109848495.25
42,2019-03-08,107786495.25
43,2019-03-11,108243495.25
44,2019-03-12,109314495.25
45,2019-03-13,108779495.25
46,2019-03-14,107939495.25
47,2019-03-15,107786495.25
48,2019-03-18,108550495.25
49,2019-03-19,107709495.25
50,2019-03-20,108932495.25
51,2019-03-21,107022495.25
52,2019-03-22,107404495.25
53,2019-03-25,107404495.25
54,2019-03-26,107404495.25
55,2019-03-27,107404495.25
56,2019-03-28,106411495.25
57,2019-03-29,106105495.25
58,2019-04-01,109008495.25
59,2019-04-02,109314495.25
60,2019-04-03,108932495.25
61,2019-04-04,108550495.25
62,2019-04-05,107251495.25
63,2019-04-08,107939495.25
64,2019-04-09,106564495.25
65,2019-04-10,106488495.25
66,2019-04-11,106717495.25
67,2019-04-12,106793495.25
68,2019-04-16,107022495.25
69,2019-04-17,106258495.25
70,2019-04-18,106411495.25
71,2019-04-19,104731495.25
72,2019-04-22,102133495.25
73,2019-04-23,100149495.25
74,2019-04-24,102057495.25
75,2019-04-25,102057495.25
76,2019-04-26,102287495.25
77,2019-05-02,102439495.25
78,2019-05-03,103204495.25
79,2019-05-06,101751495.25
80,2019-05-07,102057495.25
81,2019-05-08,100911495.25
82,2019-05-09,101065495.25
83,2019-05-10,102516495.25
84,2019-05-13,105418495.25
85,2019-05-14,106641495.25
86,2019-05-15,106717495.25
87,2019-05-16,107327495.25
88,2019-05-17,106717495.25
89,2019-05-20,108168495.25
90,2019-05-21,105114495.25
91,2019-05-22,104043495.25
92,2019-05-23,104043495.25
93,2019-05-24,102821495.25
94,2019-05-27,105494495.25
95,2019-05-28,103965495.25
96,2019-05-29,104654495.25
97,2019-05-30,103585495.25
98,2019-05-31,102057495.25
99,2019-06-03,100911495.25
100,2019-06-04,101370495.25
101,2019-06-05,101680495.25
102,2019-06-06,100905495.25
103,2019-06-07,100983495.25
104,2019-06-10,101215495.25
105,2019-06-11,100133495.25
106,2019-06-12,99901495.25
107,2019-06-13,98356495.25
108,2019-06-14,98742495.25
109,2019-06-17,98742495.25
110,2019-06-18,98200495.25
111,2019-06-19,98509495.25
112,2019-06-20,98432495.25
113,2019-06-21,100133495.25
114,2019-06-24,98279495.25
115,2019-06-25,98509495.25
116,2019-06-26,98587495.25
117,2019-06-27,98279495.25
118,2019-06-28,98200495.25
119,2019-07-01,99747495.25
120,2019-07-02,99824495.25
121,2019-07-03,100520495.25
122,2019-07-04,100674495.25
123,2019-07-05,100674495.25
124,2019-07-08,99129495.25
125,2019-07-09,99747495.25
126,2019-07-10,99747495.25
127,2019-07-11,99901495.25
128,2019-07-12,98973495.25
129,2019-07-15,98356495.25
130,2019-07-16,98973495.25
131,2019-07-17,100056495.25
132,2019-07-18,99438495.25
133,2019-07-19,101215495.25
134,2019-07-22,100133495.25
135,2019-07-23,100056495.25
136,2019-07-24,100211495.25
137,2019-07-25,99824495.25
138,2019-07-26,99361495.25
139,2019-07-29,98587495.25
140,2019-07-30,98587495.25
141,2019-07-31,98356495.25
142,2019-08-01,99129495.25
143,2019-08-02,98973495.25
144,2019-08-05,97429495.25
145,2019-08-06,96038495.25
146,2019-08-07,96655495.25
147,2019-08-08,96577495.25
148,2019-08-09,96655495.25
149,2019-08-12,96347495.25
150,2019-08-13,94336495.25
151,2019-08-14,94877495.25
152,2019-08-15,97429495.25
153,2019-08-16,99050495.25
154,2019-08-19,99670495.25
155,2019-08-20,99283495.25
156,2019-08-21,98897495.25
157,2019-08-22,98973495.25
158,2019-08-23,98200495.25
159,2019-08-26,96268495.25
160,2019-08-27,95110495.25
161,2019-08-28,95419495.25
162,2019-08-29,98200495.25
163,2019-08-30,98200495.25
164,2019-09-03,98973495.25
165,2019-09-04,98819495.25
166,2019-09-05,97429495.25
167,2019-09-06,98047495.25
168,2019-09-09,99361495.25
169,2019-09-10,98742495.25
170,2019-09-11,97506495.25
171,2019-09-12,97429495.25
172,2019-09-13,97506495.25
173,2019-09-16,98606495.25
174,2019-09-17,99391495.25
175,2019-09-18,100334495.25
176,2019-09-19,100255495.25
177,2019-09-20,99076495.25
178,2019-09-23,100963495.25
179,2019-09-24,102849495.25
180,2019-09-25,102456495.25
181,2019-09-26,105284495.25
182,2019-09-27,105363495.25
183,2019-09-30,105049495.25
184,2019-10-01,103712495.25
185,2019-10-02,102927495.25
186,2019-10-03,104499495.25
187,2019-10-04,104184495.25
188,2019-10-07,104578495.25
189,2019-10-08,104499495.25
190,2019-10-09,102927495.25
191,2019-10-10,102927495.25
192,2019-10-11,103712495.25
193,2019-10-14,104184495.25
194,2019-10-15,103950495.25
195,2019-10-16,105599495.25
196,2019-10-17,106070495.25
197,2019-10-18,107249495.25
198,2019-10-21,108114495.25
199,2019-10-22,107249495.25
200,2019-10-23,107091495.25
201,2019-10-24,107326495.25
202,2019-10-25,108820495.25
203,2019-10-28,108270495.25
204,2019-10-29,108506495.25
205,2019-10-30,106855495.25
206,2019-10-31,105284495.25
207,2019-11-01,107169495.25
208,2019-11-04,106306495.25
209,2019-11-05,104656495.25
210,2019-11-06,105363495.25
211,2019-11-07,104578495.25
212,2019-11-08,104656495.25
213,2019-11-11,104734495.25
214,2019-11-12,103319495.25
215,2019-11-13,101748495.25
216,2019-11-14,102062495.25
217,2019-11-15,99785495.25
218,2019-11-18,98056495.25
219,2019-11-19,100885495.25
220,2019-11-20,100570495.25
221,2019-11-21,98998495.25
222,2019-11-22,98606495.25
223,2019-11-25,99705495.25
224,2019-11-26,99785495.25
225,2019-11-27,99076495.25
226,2019-11-28,99076495.25
227,2019-11-29,98606495.25
228,2019-12-02,96090495.25
229,2019-12-03,94598495.25
230,2019-12-04,96483495.25
231,2019-12-05,95698495.25
232,2019-12-06,94520495.25
233,2019-12-09,95935495.25
234,2019-12-10,96012495.25
235,2019-12-11,96327495.25
236,2019-12-12,96798495.25
237,2019-12-13,95855495.25
238,2019-12-16,96405495.25
239,2019-12-17,95148495.25
240,2019-12-18,96327495.25
241,2019-12-19,97192495.25
242,2019-12-20,97428495.25
243,2019-12-23,95855495.25
244,2019-12-24,96327495.25
245,2019-12-25,95855495.25
246,2019-12-26,95855495.25
247,2019-12-27,96805495.25
248,2019-12-30,95459495.25
249,2019-12-31,95459495.25
250,2020-01-02,96569495.25
251,2020-01-03,96886495.25
252,2020-01-06,96172495.25
253,2020-01-07,97043495.25
254,2020-01-08,97281495.25
255,2020-01-09,97122495.25
256,2020-01-10,97361495.25
257,2020-01-13,96172495.25
258,2020-01-14,96488495.25
259,2020-01-15,96488495.25
260,2020-01-16,96805495.25
261,2020-01-17,97122495.25
262,2020-01-20,97440495.25
263,2020-01-21,99026495.25
264,2020-01-22,99263495.25
265,2020-01-30,95538495.25
266,2020-01-31,89119495.25
267,2020-02-03,88961495.25
268,2020-02-04,86346495.25
269,2020-02-05,87613495.25
270,2020-02-06,88328495.25
271,2020-02-07,90467495.25
272,2020-02-10,89516495.25
273,2020-02-11,88090495.25
274,2020-02-12,88090495.25
275,2020-02-13,87852495.25
276,2020-02-14,87613495.25
277,2020-02-17,88328495.25
278,2020-02-18,86742495.25
279,2020-02-19,87456495.25
280,2020-02-20,87456495.25
281,2020-02-21,89119495.25
282,2020-02-24,87456495.25
283,2020-02-25,88723495.25
284,2020-02-26,86346495.25
285,2020-02-27,88248495.25
286,2020-02-28,85950495.25
287,2020-03-02,85950495.25
288,2020-03-03,86584495.25
289,2020-03-04,86189495.25
290,2020-03-05,85950495.25
291,2020-03-06,85711495.25
292,2020-03-09,80006495.25
293,2020-03-10,83731495.25
294,2020-03-11,83651495.25
295,2020-03-12,83097495.25
296,2020-03-13,81670495.25
297,2020-03-16,80006495.25
298,2020-03-17,79214495.25
299,2020-03-18,78421495.25
300,2020-03-19,73666495.25
301,2020-03-20,74458495.25
302,2020-03-23,69467495.25
303,2020-03-24,71369495.25
304,2020-03-25,76044495.25
305,2020-03-26,77629495.25
306,2020-03-27,77708495.25
307,2020-03-30,75410495.25
308,2020-03-31,75252495.25
309,2020-04-01,77629495.25
310,2020-04-03,78421495.25
311,2020-04-06,79372495.25
312,2020-04-07,81195495.25
313,2020-04-08,81592495.25
314,2020-04-09,82463495.25
315,2020-04-10,82067495.25
316,2020-04-13,81670495.25
317,2020-04-14,81592495.25
318,2020-04-15,81750495.25
319,2020-04-16,81829495.25
320,2020-04-17,81829495.25
321,2020-04-20,82384495.25
322,2020-04-21,79847495.25
323,2020-04-22,80403495.25
324,2020-04-23,79292495.25
325,2020-04-24,84602495.25
326,2020-04-27,84602495.25
327,2020-04-28,82779495.25
328,2020-04-29,81592495.25
329,2020-05-04,80482495.25
330,2020-05-05,82779495.25
331,2020-05-06,83572495.25
332,2020-05-07,85078495.25
333,2020-05-08,86346495.25
334,2020-05-11,89119495.25
335,2020-05-12,93399495.25
336,2020-05-13,93240495.25
337,2020-05-14,92686495.25
338,2020-05-15,90942495.25
339,2020-05-18,91179495.25
340,2020-05-19,92369495.25
341,2020-05-20,93478495.25
342,2020-05-21,94271495.25
343,2020-05-22,93795495.25
344,2020-05-25,96331495.25
345,2020-05-26,96331495.25
346,2020-05-27,94271495.25
347,2020-05-28,94112495.25
348,2020-05-29,94271495.25
349,2020-06-01,95142495.25
350,2020-06-02,95063495.25
351,2020-06-03,95538495.25
352,2020-06-04,96488495.25
353,2020-06-05,97599495.25
354,2020-06-08,100452495.25
355,2020-06-09,102195495.25
356,2020-06-10,100610495.25
357,2020-06-11,100055495.25
358,2020-06-12,96648495.25
359,2020-06-15,91893495.25
360,2020-06-16,95855495.25
361,2020-06-17,94746495.25
362,2020-06-18,94429495.25
363,2020-06-19,94271495.25
364,2020-06-22,94587495.25
365,2020-06-23,95063495.25
366,2020-06-24,95935495.25
367,2020-06-25,95380495.25
368,2020-06-26,94983495.25
369,2020-06-29,92976495.25
370,2020-06-30,93619495.25
371,2020-07-01,95224495.25
372,2020-07-02,93860495.25
373,2020-07-03,94743495.25
374,2020-07-06,96670495.25
375,2020-07-07,96268495.25
376,2020-07-08,95867495.25
377,2020-07-09,96188495.25
378,2020-07-10,95707495.25
379,2020-07-13,95304495.25
380,2020-07-14,95626495.25
381,2020-07-15,96268495.25
382,2020-07-16,97472495.25
383,2020-07-17,96910495.25
384,2020-07-20,96028495.25
385,2020-07-21,96268495.25
386,2020-07-22,94743495.25
387,2020-07-23,94823495.25
388,2020-07-24,92334495.25
389,2020-07-27,86152495.25
390,2020-07-28,91371495.25
391,2020-07-29,88239495.25
392,2020-07-30,90648495.25
393,2020-07-31,89043495.25
394,2020-08-03,90808495.25
395,2020-08-04,92495495.25
396,2020-08-05,93137495.25
397,2020-08-06,95304495.25
398,2020-08-07,95867495.25
399,2020-08-10,95064495.25
400,2020-08-11,95064495.25
401,2020-08-12,95947495.25
402,2020-08-13,96589495.25
403,2020-08-14,96830495.25
404,2020-08-17,97071495.25
405,2020-08-18,95947495.25
406,2020-08-19,95707495.25
407,2020-08-20,95626495.25
408,2020-08-21,95947495.25
409,2020-08-24,96670495.25
410,2020-08-25,97312495.25
411,2020-08-26,97151495.25
412,2020-08-27,97231495.25
413,2020-08-28,98918495.25
414,2020-08-31,100283495.25
415,2020-09-01,102048495.25
416,2020-09-03,103253495.25
417,2020-09-04,103494495.25
418,2020-09-07,104296495.25
419,2020-09-08,102852495.25
420,2020-09-09,102530495.25
421,2020-09-10,103253495.25
422,2020-09-11,102530495.25
423,2020-09-14,102852495.25
424,2020-09-15,103333495.25
425,2020-09-16,102852495.25
426,2020-09-17,103093495.25
427,2020-09-18,104617495.25
428,2020-09-21,107589495.25
429,2020-09-22,107186495.25
430,2020-09-23,106865495.25
431,2020-09-24,105341495.25
432,2020-09-25,105662495.25
433,2020-09-28,106143495.25
434,2020-09-29,110009495.25
435,2020-09-30,109716495.25
